[23:18:38.139] [LastEpoch_Hud] List of skins, count = 3267
[23:18:38.142] [LastEpoch_Hud] Index = 0, Base Name = Mercenary Helmet, Type = HELMET, Classe Req = All
[23:18:38.146] [LastEpoch_Hud] Index = 64, Base Name = Myrmidon Helm, Type = HELMET, Classe Req = All
[23:18:38.146] [LastEpoch_Hud] Index = 65, Base Name = Augury Helm, Type = HELMET, Classe Req = All
[23:18:38.147] [LastEpoch_Hud] Index = 66, Base Name = Solarum Greathelm, Type = HELMET, Classe Req = All
[23:18:38.147] [LastEpoch_Hud] Index = 67, Base Name = Tyrant Crown, Type = HELMET, Classe Req = All
[23:18:38.147] [LastEpoch_Hud] Index = 68, Base Name = Tusked Greathelm, Type = HELMET, Classe Req = All
[23:18:38.147] [LastEpoch_Hud] Index = 69, Base Name = Cloth Hood, Type = HELMET, Classe Req = All
[23:18:38.147] [LastEpoch_Hud] Index = 70, Base Name = Leather Mask, Type = HELMET, Classe Req = All
[23:18:38.147] [LastEpoch_Hud] Index = 71, Base Name = Bandit Helm, Type = HELMET, Classe Req = All
[23:18:38.147] [LastEpoch_Hud] Index = 72, Base Name = Outcast Hat, Type = HELMET, Classe Req = All
[23:18:38.147] [LastEpoch_Hud] Index = 73, Base Name = Horned Helm, Type = HELMET, Classe Req = All
[23:18:38.147] [LastEpoch_Hud] Index = 74, Base Name = Umbral Hood, Type = HELMET, Classe Req = All
[23:18:38.147] [LastEpoch_Hud] Index = 75, Base Name = Exile Hat, Type = HELMET, Classe Req = All
[23:18:38.147] [LastEpoch_Hud] Index = 76, Base Name = Pinnacle Helm, Type = HELMET, Classe Req = All
[23:18:38.147] [LastEpoch_Hud] Index = 77, Base Name = Falconry Helm, Type = HELMET, Classe Req = All
[23:18:38.147] [LastEpoch_Hud] Index = 78, Base Name = Mercenary Armor, Type = BODY_ARMOR, Classe Req = All
[23:18:38.148] [LastEpoch_Hud] Index = 79, Base Name = Mercenary Armor, Type = BODY_ARMOR, Classe Req = Acolyte
[23:18:38.148] [LastEpoch_Hud] Index = 80, Base Name = Mercenary Armor, Type = BODY_ARMOR, Classe Req = Mage
[23:18:38.148] [LastEpoch_Hud] Index = 81, Base Name = Mercenary Armor, Type = BODY_ARMOR, Classe Req = Primalist
[23:18:38.148] [LastEpoch_Hud] Index = 82, Base Name = Mercenary Armor, Type = BODY_ARMOR, Classe Req = Rogue
[23:18:38.148] [LastEpoch_Hud] Index = 83, Base Name = Leather Coat, Type = BODY_ARMOR, Classe Req = All
[23:18:38.148] [LastEpoch_Hud] Index = 84, Base Name = Leather Coat, Type = BODY_ARMOR, Classe Req = Acolyte
[23:18:38.148] [LastEpoch_Hud] Index = 85, Base Name = Leather Coat, Type = BODY_ARMOR, Classe Req = Mage
[23:18:38.148] [LastEpoch_Hud] Index = 86, Base Name = Leather Coat, Type = BODY_ARMOR, Classe Req = Primalist
[23:18:38.148] [LastEpoch_Hud] Index = 87, Base Name = Leather Coat, Type = BODY_ARMOR, Classe Req = Rogue
[23:18:38.148] [LastEpoch_Hud] Index = 88, Base Name = Iron Armor, Type = BODY_ARMOR, Classe Req = All
[23:18:38.148] [LastEpoch_Hud] Index = 89, Base Name = Iron Armor, Type = BODY_ARMOR, Classe Req = Acolyte
[23:18:38.148] [LastEpoch_Hud] Index = 90, Base Name = Iron Armor, Type = BODY_ARMOR, Classe Req = Mage
[23:18:38.148] [LastEpoch_Hud] Index = 91, Base Name = Iron Armor, Type = BODY_ARMOR, Classe Req = Primalist
[23:18:38.148] [LastEpoch_Hud] Index = 92, Base Name = Iron Armor, Type = BODY_ARMOR, Classe Req = Rogue
[23:18:38.148] [LastEpoch_Hud] Index = 93, Base Name = Red Leather Armor, Type = BODY_ARMOR, Classe Req = All
[23:18:38.148] [LastEpoch_Hud] Index = 94, Base Name = Red Leather Armor, Type = BODY_ARMOR, Classe Req = Acolyte
[23:18:38.148] [LastEpoch_Hud] Index = 95, Base Name = Red Leather Armor, Type = BODY_ARMOR, Classe Req = Mage
[23:18:38.148] [LastEpoch_Hud] Index = 96, Base Name = Red Leather Armor, Type = BODY_ARMOR, Classe Req = Primalist
[23:18:38.148] [LastEpoch_Hud] Index = 97, Base Name = Red Leather Armor, Type = BODY_ARMOR, Classe Req = Rogue
[23:18:38.148] [LastEpoch_Hud] Index = 98, Base Name = Banded Armor, Type = BODY_ARMOR, Classe Req = All
[23:18:38.148] [LastEpoch_Hud] Index = 99, Base Name = Banded Armor, Type = BODY_ARMOR, Classe Req = Acolyte
[23:18:38.148] [LastEpoch_Hud] Index = 100, Base Name = Banded Armor, Type = BODY_ARMOR, Classe Req = Mage
[23:18:38.149] [LastEpoch_Hud] Index = 101, Base Name = Banded Armor, Type = BODY_ARMOR, Classe Req = Primalist
[23:18:38.149] [LastEpoch_Hud] Index = 102, Base Name = Banded Armor, Type = BODY_ARMOR, Classe Req = Rogue
[23:18:38.149] [LastEpoch_Hud] Index = 103, Base Name = Copper Armor, Type = BODY_ARMOR, Classe Req = All
[23:18:38.149] [LastEpoch_Hud] Index = 104, Base Name = Copper Armor, Type = BODY_ARMOR, Classe Req = Acolyte
[23:18:38.149] [LastEpoch_Hud] Index = 105, Base Name = Copper Armor, Type = BODY_ARMOR, Classe Req = Mage
[23:18:38.149] [LastEpoch_Hud] Index = 106, Base Name = Copper Armor, Type = BODY_ARMOR, Classe Req = Primalist
[23:18:38.149] [LastEpoch_Hud] Index = 107, Base Name = Copper Armor, Type = BODY_ARMOR, Classe Req = Rogue
[23:18:38.149] [LastEpoch_Hud] Index = 108, Base Name = Secutor Armor, Type = BODY_ARMOR, Classe Req = All
[23:18:38.149] [LastEpoch_Hud] Index = 109, Base Name = Secutor Armor, Type = BODY_ARMOR, Classe Req = Acolyte
[23:18:38.149] [LastEpoch_Hud] Index = 110, Base Name = Secutor Armor, Type = BODY_ARMOR, Classe Req = Mage
[23:18:38.149] [LastEpoch_Hud] Index = 111, Base Name = Secutor Armor, Type = BODY_ARMOR, Classe Req = Primalist
[23:18:38.149] [LastEpoch_Hud] Index = 112, Base Name = Secutor Armor, Type = BODY_ARMOR, Classe Req = Rogue
[23:18:38.149] [LastEpoch_Hud] Index = 113, Base Name = Fur Armor, Type = BODY_ARMOR, Classe Req = All
[23:18:38.149] [LastEpoch_Hud] Index = 114, Base Name = Fur Armor, Type = BODY_ARMOR, Classe Req = Acolyte
[23:18:38.149] [LastEpoch_Hud] Index = 115, Base Name = Fur Armor, Type = BODY_ARMOR, Classe Req = Mage
[23:18:38.149] [LastEpoch_Hud] Index = 116, Base Name = Fur Armor, Type = BODY_ARMOR, Classe Req = Primalist
[23:18:38.149] [LastEpoch_Hud] Index = 117, Base Name = Fur Armor, Type = BODY_ARMOR, Classe Req = Rogue
[23:18:38.149] [LastEpoch_Hud] Index = 118, Base Name = Outcast Rags, Type = BODY_ARMOR, Classe Req = All
[23:18:38.149] [LastEpoch_Hud] Index = 119, Base Name = Heretic Garb, Type = BODY_ARMOR, Classe Req = All
[23:18:38.149] [LastEpoch_Hud] Index = 120, Base Name = Initiate Robes, Type = BODY_ARMOR, Classe Req = All
[23:18:38.149] [LastEpoch_Hud] Index = 121, Base Name = Ribbed Cuirass, Type = BODY_ARMOR, Classe Req = All
[23:18:38.149] [LastEpoch_Hud] Index = 122, Base Name = Fiend Robes, Type = BODY_ARMOR, Classe Req = All
[23:18:38.150] [LastEpoch_Hud] Index = 123, Base Name = Burial Plate, Type = BODY_ARMOR, Classe Req = All
[23:18:38.150] [LastEpoch_Hud] Index = 124, Base Name = Profane Regalia, Type = BODY_ARMOR, Classe Req = All
[23:18:38.150] [LastEpoch_Hud] Index = 125, Base Name = Revenant Plate, Type = BODY_ARMOR, Classe Req = All
[23:18:38.150] [LastEpoch_Hud] Index = 126, Base Name = Traveling Coat, Type = BODY_ARMOR, Classe Req = All
[23:18:38.150] [LastEpoch_Hud] Index = 127, Base Name = Adept Robes, Type = BODY_ARMOR, Classe Req = All
[23:18:38.150] [LastEpoch_Hud] Index = 128, Base Name = Archive Robes, Type = BODY_ARMOR, Classe Req = All
[23:18:38.150] [LastEpoch_Hud] Index = 129, Base Name = Temple Garb, Type = BODY_ARMOR, Classe Req = All
[23:18:38.150] [LastEpoch_Hud] Index = 130, Base Name = Opulent Robes, Type = BODY_ARMOR, Classe Req = All
[23:18:38.150] [LastEpoch_Hud] Index = 131, Base Name = Mystic Plate, Type = BODY_ARMOR, Classe Req = All
[23:18:38.150] [LastEpoch_Hud] Index = 132, Base Name = Celestial Raiment, Type = BODY_ARMOR, Classe Req = All
[23:18:38.150] [LastEpoch_Hud] Index = 133, Base Name = Vulkaur Regalia, Type = BODY_ARMOR, Classe Req = All
[23:18:38.150] [LastEpoch_Hud] Index = 134, Base Name = Hide Armor, Type = BODY_ARMOR, Classe Req = All
[23:18:38.150] [LastEpoch_Hud] Index = 135, Base Name = Oak Armor, Type = BODY_ARMOR, Classe Req = All
[23:18:38.150] [LastEpoch_Hud] Index = 136, Base Name = Forest Garb, Type = BODY_ARMOR, Classe Req = All
[23:18:38.150] [LastEpoch_Hud] Index = 137, Base Name = Icewolf Garb, Type = BODY_ARMOR, Classe Req = All
[23:18:38.150] [LastEpoch_Hud] Index = 138, Base Name = Shamanic Garb, Type = BODY_ARMOR, Classe Req = All
[23:18:38.150] [LastEpoch_Hud] Index = 139, Base Name = Kolheim Armor, Type = BODY_ARMOR, Classe Req = All
[23:18:38.150] [LastEpoch_Hud] Index = 140, Base Name = Meruna Carapace, Type = BODY_ARMOR, Classe Req = All
[23:18:38.151] [LastEpoch_Hud] Index = 141, Base Name = Greatwood Coat, Type = BODY_ARMOR, Classe Req = All
[23:18:38.151] [LastEpoch_Hud] Index = 142, Base Name = Ringmail Hauberk, Type = BODY_ARMOR, Classe Req = All
[23:18:38.151] [LastEpoch_Hud] Index = 143, Base Name = Infantry Hauberk, Type = BODY_ARMOR, Classe Req = All
[23:18:38.151] [LastEpoch_Hud] Index = 144, Base Name = Iron Cuirass, Type = BODY_ARMOR, Classe Req = All
[23:18:38.151] [LastEpoch_Hud] Index = 145, Base Name = Full Plate, Type = BODY_ARMOR, Classe Req = All
[23:18:38.151] [LastEpoch_Hud] Index = 146, Base Name = Noble Plate, Type = BODY_ARMOR, Classe Req = All
[23:18:38.151] [LastEpoch_Hud] Index = 147, Base Name = Myrmidon Plate, Type = BODY_ARMOR, Classe Req = All
[23:18:38.151] [LastEpoch_Hud] Index = 148, Base Name = Augury Plate, Type = BODY_ARMOR, Classe Req = All
[23:18:38.151] [LastEpoch_Hud] Index = 149, Base Name = Solarum Plate, Type = BODY_ARMOR, Classe Req = All
[23:18:38.151] [LastEpoch_Hud] Index = 150, Base Name = Apocalypse Plate, Type = BODY_ARMOR, Classe Req = All
[23:18:38.151] [LastEpoch_Hud] Index = 151, Base Name = Tyrant Regalia, Type = BODY_ARMOR, Classe Req = All
[23:18:38.151] [LastEpoch_Hud] Index = 152, Base Name = Ancestral Garb, Type = BODY_ARMOR, Classe Req = All
[23:18:38.151] [LastEpoch_Hud] Index = 153, Base Name = Cloth Armor, Type = BODY_ARMOR, Classe Req = All
[23:18:38.151] [LastEpoch_Hud] Index = 154, Base Name = Leather Hauberk, Type = BODY_ARMOR, Classe Req = All
[23:18:38.151] [LastEpoch_Hud] Index = 155, Base Name = Bandit Garb, Type = BODY_ARMOR, Classe Req = All
[23:18:38.151] [LastEpoch_Hud] Index = 156, Base Name = Outcast Coat, Type = BODY_ARMOR, Classe Req = All
[23:18:38.151] [LastEpoch_Hud] Index = 157, Base Name = Brigandine Armor, Type = BODY_ARMOR, Classe Req = All
[23:18:38.152] [LastEpoch_Hud] Index = 158, Base Name = Falconry Armor, Type = BODY_ARMOR, Classe Req = All
[23:18:38.152] [LastEpoch_Hud] Index = 159, Base Name = Exile Coat, Type = BODY_ARMOR, Classe Req = All
[23:18:38.152] [LastEpoch_Hud] Index = 160, Base Name = Elite Regalia, Type = BODY_ARMOR, Classe Req = All
[23:18:38.152] [LastEpoch_Hud] Index = 161, Base Name = Umbral Coat, Type = BODY_ARMOR, Classe Req = All
[23:18:38.152] [LastEpoch_Hud] Index = 162, Base Name = Hide Boots, Type = BOOTS, Classe Req = All
[23:18:38.152] [LastEpoch_Hud] Index = 163, Base Name = Hide Boots, Type = BOOTS, Classe Req = Acolyte
[23:18:38.152] [LastEpoch_Hud] Index = 164, Base Name = Hide Boots, Type = BOOTS, Classe Req = Mage
[23:18:38.152] [LastEpoch_Hud] Index = 165, Base Name = Hide Boots, Type = BOOTS, Classe Req = Primalist
[23:18:38.152] [LastEpoch_Hud] Index = 166, Base Name = Hide Boots, Type = BOOTS, Classe Req = Rogue
[23:18:38.152] [LastEpoch_Hud] Index = 167, Base Name = Leather Boots, Type = BOOTS, Classe Req = All
[23:18:38.152] [LastEpoch_Hud] Index = 168, Base Name = Leather Boots, Type = BOOTS, Classe Req = Acolyte
[23:18:38.152] [LastEpoch_Hud] Index = 169, Base Name = Leather Boots, Type = BOOTS, Classe Req = Mage
[23:18:38.152] [LastEpoch_Hud] Index = 170, Base Name = Leather Boots, Type = BOOTS, Classe Req = Primalist
[23:18:38.152] [LastEpoch_Hud] Index = 171, Base Name = Leather Boots, Type = BOOTS, Classe Req = Rogue
[23:18:38.152] [LastEpoch_Hud] Index = 172, Base Name = Iron Boots, Type = BOOTS, Classe Req = All
[23:18:38.152] [LastEpoch_Hud] Index = 173, Base Name = Iron Boots, Type = BOOTS, Classe Req = Acolyte
[23:18:38.152] [LastEpoch_Hud] Index = 174, Base Name = Iron Boots, Type = BOOTS, Classe Req = Mage
[23:18:38.152] [LastEpoch_Hud] Index = 175, Base Name = Iron Boots, Type = BOOTS, Classe Req = Primalist
[23:18:38.153] [LastEpoch_Hud] Index = 176, Base Name = Iron Boots, Type = BOOTS, Classe Req = Rogue
[23:18:38.153] [LastEpoch_Hud] Index = 177, Base Name = Outcast Boots, Type = BOOTS, Classe Req = All
[23:18:38.153] [LastEpoch_Hud] Index = 178, Base Name = Outcast Boots, Type = BOOTS, Classe Req = Acolyte
[23:18:38.153] [LastEpoch_Hud] Index = 179, Base Name = Outcast Boots, Type = BOOTS, Classe Req = Mage
[23:18:38.153] [LastEpoch_Hud] Index = 180, Base Name = Outcast Boots, Type = BOOTS, Classe Req = Primalist
[23:18:38.153] [LastEpoch_Hud] Index = 181, Base Name = Outcast Boots, Type = BOOTS, Classe Req = Rogue
[23:18:38.153] [LastEpoch_Hud] Index = 182, Base Name = Brigandine Boots, Type = BOOTS, Classe Req = All
[23:18:38.153] [LastEpoch_Hud] Index = 183, Base Name = Brigandine Boots, Type = BOOTS, Classe Req = Acolyte
[23:18:38.153] [LastEpoch_Hud] Index = 184, Base Name = Brigandine Boots, Type = BOOTS, Classe Req = Mage
[23:18:38.153] [LastEpoch_Hud] Index = 185, Base Name = Brigandine Boots, Type = BOOTS, Classe Req = Primalist
[23:18:38.153] [LastEpoch_Hud] Index = 186, Base Name = Brigandine Boots, Type = BOOTS, Classe Req = Rogue
[23:18:38.153] [LastEpoch_Hud] Index = 187, Base Name = Heoborean Boots, Type = BOOTS, Classe Req = All
[23:18:38.153] [LastEpoch_Hud] Index = 188, Base Name = Heoborean Boots, Type = BOOTS, Classe Req = Acolyte
[23:18:38.153] [LastEpoch_Hud] Index = 189, Base Name = Heoborean Boots, Type = BOOTS, Classe Req = Mage
[23:18:38.153] [LastEpoch_Hud] Index = 190, Base Name = Heoborean Boots, Type = BOOTS, Classe Req = Primalist
[23:18:38.153] [LastEpoch_Hud] Index = 191, Base Name = Heoborean Boots, Type = BOOTS, Classe Req = Rogue
[23:18:38.153] [LastEpoch_Hud] Index = 192, Base Name = Solarum Greaves, Type = BOOTS, Classe Req = All
[23:18:38.153] [LastEpoch_Hud] Index = 193, Base Name = Solarum Greaves, Type = BOOTS, Classe Req = Acolyte
[23:18:38.153] [LastEpoch_Hud] Index = 194, Base Name = Solarum Greaves, Type = BOOTS, Classe Req = Mage
[23:18:38.153] [LastEpoch_Hud] Index = 195, Base Name = Solarum Greaves, Type = BOOTS, Classe Req = Primalist
[23:18:38.153] [LastEpoch_Hud] Index = 196, Base Name = Solarum Greaves, Type = BOOTS, Classe Req = Rogue
[23:18:38.154] [LastEpoch_Hud] Index = 197, Base Name = Worn Boots, Type = BOOTS, Classe Req = All
[23:18:38.154] [LastEpoch_Hud] Index = 198, Base Name = Worn Boots, Type = BOOTS, Classe Req = Acolyte
[23:18:38.154] [LastEpoch_Hud] Index = 199, Base Name = Worn Boots, Type = BOOTS, Classe Req = Mage
[23:18:38.154] [LastEpoch_Hud] Index = 200, Base Name = Worn Boots, Type = BOOTS, Classe Req = Primalist
[23:18:38.154] [LastEpoch_Hud] Index = 201, Base Name = Worn Boots, Type = BOOTS, Classe Req = Rogue
[23:18:38.154] [LastEpoch_Hud] Index = 202, Base Name = Shrine Boots, Type = BOOTS, Classe Req = All
[23:18:38.154] [LastEpoch_Hud] Index = 203, Base Name = Shrine Boots, Type = BOOTS, Classe Req = Acolyte
[23:18:38.154] [LastEpoch_Hud] Index = 204, Base Name = Shrine Boots, Type = BOOTS, Classe Req = Mage
[23:18:38.154] [LastEpoch_Hud] Index = 205, Base Name = Shrine Boots, Type = BOOTS, Classe Req = Primalist
[23:18:38.154] [LastEpoch_Hud] Index = 206, Base Name = Shrine Boots, Type = BOOTS, Classe Req = Rogue
[23:18:38.154] [LastEpoch_Hud] Index = 207, Base Name = Arcane Boots, Type = BOOTS, Classe Req = All
[23:18:38.154] [LastEpoch_Hud] Index = 208, Base Name = Arcane Boots, Type = BOOTS, Classe Req = Acolyte
[23:18:38.154] [LastEpoch_Hud] Index = 209, Base Name = Arcane Boots, Type = BOOTS, Classe Req = Mage
[23:18:38.154] [LastEpoch_Hud] Index = 210, Base Name = Arcane Boots, Type = BOOTS, Classe Req = Primalist
[23:18:38.154] [LastEpoch_Hud] Index = 211, Base Name = Arcane Boots, Type = BOOTS, Classe Req = Rogue
[23:18:38.154] [LastEpoch_Hud] Index = 212, Base Name = Hide Gloves, Type = GLOVES, Classe Req = All
[23:18:38.154] [LastEpoch_Hud] Index = 213, Base Name = Hide Gloves, Type = GLOVES, Classe Req = Acolyte
[23:18:38.154] [LastEpoch_Hud] Index = 214, Base Name = Hide Gloves, Type = GLOVES, Classe Req = Mage
[23:18:38.154] [LastEpoch_Hud] Index = 215, Base Name = Hide Gloves, Type = GLOVES, Classe Req = Primalist
[23:18:38.154] [LastEpoch_Hud] Index = 216, Base Name = Hide Gloves, Type = GLOVES, Classe Req = Rogue
[23:18:38.155] [LastEpoch_Hud] Index = 217, Base Name = Leather Gloves, Type = GLOVES, Classe Req = All
[23:18:38.155] [LastEpoch_Hud] Index = 218, Base Name = Leather Gloves, Type = GLOVES, Classe Req = Acolyte
[23:18:38.155] [LastEpoch_Hud] Index = 219, Base Name = Leather Gloves, Type = GLOVES, Classe Req = Mage
[23:18:38.155] [LastEpoch_Hud] Index = 220, Base Name = Leather Gloves, Type = GLOVES, Classe Req = Primalist
[23:18:38.155] [LastEpoch_Hud] Index = 221, Base Name = Leather Gloves, Type = GLOVES, Classe Req = Rogue
[23:18:38.155] [LastEpoch_Hud] Index = 222, Base Name = Mail Bracers, Type = GLOVES, Classe Req = All
[23:18:38.155] [LastEpoch_Hud] Index = 223, Base Name = Mail Bracers, Type = GLOVES, Classe Req = Acolyte
[23:18:38.155] [LastEpoch_Hud] Index = 224, Base Name = Mail Bracers, Type = GLOVES, Classe Req = Mage
[23:18:38.155] [LastEpoch_Hud] Index = 225, Base Name = Mail Bracers, Type = GLOVES, Classe Req = Primalist
[23:18:38.155] [LastEpoch_Hud] Index = 226, Base Name = Mail Bracers, Type = GLOVES, Classe Req = Rogue
[23:18:38.155] [LastEpoch_Hud] Index = 227, Base Name = Outcast Gloves, Type = GLOVES, Classe Req = All
[23:18:38.155] [LastEpoch_Hud] Index = 228, Base Name = Outcast Gloves, Type = GLOVES, Classe Req = Acolyte
[23:18:38.155] [LastEpoch_Hud] Index = 229, Base Name = Outcast Gloves, Type = GLOVES, Classe Req = Mage
[23:18:38.155] [LastEpoch_Hud] Index = 230, Base Name = Outcast Gloves, Type = GLOVES, Classe Req = Primalist
[23:18:38.155] [LastEpoch_Hud] Index = 231, Base Name = Outcast Gloves, Type = GLOVES, Classe Req = Rogue
